A	名前はまだ無い。
	おれが死んだら、おれが死んだらって、まあ何遍おっしゃるの。後生だからもう好い加減にして、おれが死んだらは止して頂戴。縁喜でもない。あなたが死んだら、何でもあなたの思い通りにして上げるから、それで好いじゃありませんか
	ご病人をお大事に
e	また[when]に
	どっちが先へ死ぬだろう
	ああ帰ったかい。そうか、それでも卒業ができてまあ結構だった。ちょっとお待ち、今顔を洗って来るから
	卒業ができてまあ結構だ
a	お目出とう
	大学ぐらい卒業したって、それほど結構でもありません。卒業するものは毎年何百人だってあります
	何も卒業したから結構とばかりいうんじゃない。そりゃ卒業は結構に違いないが、おれのいうのはもう少し意味があるんだ。それがお前に解っていてくれさえすれば、……
	つまり、おれが結構という事になるのさ。おれはお前の知ってる通りの病気だろう。去年の冬お前に会った時、ことによるともう三月か四月ぐらいなものだろうと思っていたのさ。それがどういう仕合せか、今日までこうしている。起居に不自由なくこうしている。そこへお前が卒業してくれた。だから嬉しいのさ。せっかく丹精した息子が、自分のいなくなった後で卒業してくれるよりも、丈夫なうちに学校を出てくれる方が親の身になれば嬉しいだろうじゃないか。大きな考えをもっているお前から見たら、高が大学を卒業したぐらいで、結構だ結構だといわれるのは余り面白くもないだろう。しかしおれの方から見てご覧、立場が少し違っているよ。つまり卒業はお前に取ってより、このおれに取って結構なんだ。解ったかい
	こんなものは巻いたなり手に持って来るものだ
	中に心でも入れると好かったのに
	お父さんはあんなに元気そうに庭へ出たり何かしているが、あれでいいんですか
	もう何ともないようだよ。大方好くおなりなんだろう
	でも医者はあの時到底むずかしいって宣告したじゃありませんか
	だから人間の身体ほど不思議なものはないと思うんだよ。あれほどお医者が手重くいったものが、今までしゃんしゃんしているんだからね。お母さんも始めのうちは心配して、なるべく動かさないようにと思ってたんだがね。それ、あの気性だろう。養生はしなさるけれども、強情でねえ。自分が好いと思い込んだら、なかなか私のいう事なんか、聞きそうにもなさらないんだからね
	もう大丈夫、お母さんがあんまり仰山過ぎるからいけないんだ
a	しかし傍でも少しは注意しなくっちゃ
	へえ、やっぱり同じ病気でね。お気の毒だね。いくつでお亡くなりかえ、その方は
	もっともだ。お前のいう通りだ。けれども、己の身体は必竟己の身体で、その己の身体についての養生法は、多年の経験上、己が一番能く心得ているはずだからね
a	それご覧な
	でも、あれでお父さんは自分でちゃんと覚悟だけはしているんですよ。今度私が卒業して帰ったのを大変喜んでいるのも、全くそのためなんです。生きてるうちに卒業はできまいと思ったのが、達者なうちに免状を持って来たから、それが嬉しいんだって、お父さんは自分でそういっていましたぜ
	そりゃ、お前、口でこそそうおいいだけれどもね。お腹のなかではまだ大丈夫だと思ってお出のだよ
a	そうでしょうか
	まだまだ十年も二十年も生きる気でお出のだよ。もっとも時々はわたしにも心細いような事をおいいだがね。おれもこの分じゃもう長い事もあるまいよ、おれが死んだら、お前はどうする、一人でこの家にいる気かなんて
	なにね、自分で死ぬ死ぬっていう人に死んだ試しはないんだから安心だよ。お父さんなんぞも、死ぬ死ぬっていいながら、これから先まだ何年生きなさるか分るまいよ。それよりか黙ってる丈夫の人の方が剣呑さ
ab	あんまり仰山な事は止してください
	仰山仰山とおいいだが、些とも仰山じゃないよ。生涯に二度とある事じゃないんだからね、お客ぐらいするのは当り前だよ。そう遠慮をお為でない
	呼ばなくっても好いが、呼ばないとまた何とかいうから
	東京と違って田舎は蒼蠅いからね
	お父さんの顔もあるんだから
	つまり私のためなら、止して下さいというだけなんです。陰で何かいわれるのが厭だからというご主意なら、そりゃまた別です。あなたがたに#不利益な事を私が強いて主張したって仕方がありません
ab	そう理屈をいわれると困る
	何もお前のためにするんじゃないとお父さんがおっしゃるんじゃないけれども、お前だって世間への義理ぐらいは知っているだろう
b	学問をさせると人間がとかく理屈っぽくなっていけない
a	まあ、ご遠慮申した方がよかろう
	私には親類はありませんよ
	おいご覧、今日も天子さまの事が詳しく出ている
	勿体ない話だが、天子さまのご病気も、お父さんのとまあ似たものだろうな
	しかし大丈夫だろう。おれのような下らないものでも、まだこうしていられるくらいだから
	お父さんは本当に病気を怖がってるんですよ。お母さんのおっしゃるように、十年も二十年も生きる気じゃなさそうですぜ
	ちょっとまた将棋でも差すように勧めてご覧な
a	まったく気のせいだよ
	気じゃない。本当に身体が悪かないんでしょうか。どうも気分より健康の方が悪くなって行くらしい
	今年の夏はお前も詰らなかろう。せっかく卒業したのに、お祝いもして上げる事ができず、お父さんの身体もあの通りだし。それに天子様のご病気で。――いっその事、帰るすぐにお客でも呼ぶ方が好かったんだよ
a	ああ、ああ
	ああ、ああ、天子様もとうとうおかくれになる。己も……
	あなたの宅の構えはどんな体裁ですか。私の郷里の方とは大分趣が違っていますかね
	そんな所へ行かないでも、まだ好い口があるだろう
	相当の口って、近頃じゃそんな旨い口はなかなかあるものじゃありません。ことに兄さんと私とは専門も違うし、時代も違うんだから、二人を同じように考えられちゃ少し困ります
	しかし卒業した以上は、少なくとも独立してやって行ってくれなくっちゃこっちも困る。人からあなたの所のご二男は、大学を卒業なすって何をしてお出ですかと聞かれた時に返事ができないようじゃ、おれも肩身が狭いから
	お前のよく先生先生という方にでもお願いしたら好いじゃないか。こんな時こそ
	その先生は何をしているのかい
	何にもしていないんです
	何もしていないというのは、またどういう訳かね。お前がそれほど尊敬するくらいな人なら何かやっていそうなものだがね
	おれのような人間だって、月給こそ貰っちゃいないが、これでも遊んでばかりいるんじゃない
	お前のいうような偉い方なら、きっと何か口を探して下さるよ。頼んでご覧なのかい
ai	いいえ
	じゃ仕方がないじゃないか。なぜ頼まないんだい。手紙でも好いからお出しな
ai	ええ
	小供に学問をさせるのも、好し悪しだね。せっかく修業をさせると、その小供は決して宅へ帰って来ない。これじゃ手もなく親子を隔離するために学問させるようなものだ
	先生に手紙を書きましたよ。あなたのおっしゃった通り。ちょっと読んでご覧なさい
	そうかい、それじゃ早くお出し。そんな事は他が気を付けないでも、自分で早くやるものだよ
	しかし手紙じゃ用は足りませんよ。どうせ、九月にでもなって、私が東京へ出てからでなくっちゃ
	そりゃそうかも知れないけれども、またひょっとして、どんな好い口がないとも限らないんだから、早く頼んでおくに越した事はないよ
	ええ。とにかく返事は来るに極ってますから、そうしたらまたお話ししましょう
	大方どこかへ避暑にでも行っているんでしょう
	ここにこうしていたって、あなたのおっしゃる通りの地位が得られるものじゃないですから
	無論口の見付かるまでで好いですから
	そりゃ僅の間の事だろうから、どうにか都合してやろう。その代り永くはいけないよ。相当の地位を得次第独立しなくっちゃ。元来学校を出た以上、出たあくる日から他の世話になんぞなるものじゃないんだから。今の若いものは、金を使う道だけ心得ていて、金を取る方は全く考えていないようだね
	昔の親は子に食わせてもらったのに、今の親は子に食われるだけだ
	お母さんに日を見てもらいなさい
i	そうしましょう
	お前が東京へ行くと宅はまた淋しくなる。何しろ己とお母さんだけなんだからね。そのおれも身体さえ達者なら好いが、この様子じゃいつ急にどんな事がないともいえないよ
a	もう大丈夫
	もう少し様子を見てからにしましょうか
i	そうしておくれ
	お前は今日東京へ行くはずじゃなかったか
	ええ、少し延ばしました
a	おれのためにかい
a	気の毒だね
ab	どうしたものだろうね
	どうせ死ぬんだから、旨いものでも食って死ななくっちゃ
	どうしてこう渇くのかね。やっぱり心に丈夫の所があるのかも知れないよ
	そう判然りした事になると私にも分りません。しかし危険はいつ来るか分らないという事だけは承知していて下さい
	今に癒ったらもう一返東京へ遊びに行ってみよう。人間はいつ死ぬか分らないからな。何でもやりたい事は、生きてるうちにやっておくに限る
	その時は私もいっしょに伴れて行って頂きましょう
	おれが死んだら、どうかお母さんを大事にしてやってくれ
	おれが死んだら
	おれが死んだら
	そんな弱い事をおっしゃっちゃいけませんよ。今に癒ったら東京へ遊びにいらっしゃるはずじゃありませんか。お母さんといっしょに。今度いらっしゃるときっと吃驚しますよ、変っているんで。電車の新しい線路だけでも大変増えていますからね。電車が通るようになれば自然町並も変るし、その上に市区改正もあるし、東京が凝としている時は、まあ二六時中一分もないといっていいくらいです
	どうかと思ったら、この様子じゃ大丈夫だ。話も自由だし、だいち顔がちっとも瘠せていないじゃないか
	少し午眠でもおしよ。お前もさぞ草臥れるだろう
b	お父さんは？
	今よく寝てお出だよ
	先生からまだ何ともいって来ないかい
b	もう一遍手紙を出してご覧な
	手紙を書くのは訳はないですが、こういう事は郵便じゃとても埒は明きませんよ。どうしても自分で東京へ出て、じかに頼んで廻らなくっちゃ
	だってお父さんがあの様子じゃ、お前、いつ東京へ出られるか分らないじゃないか
	だから出やしません。癒るとも癒らないとも片付かないうちは、ちゃんとこうしているつもりです
	そりゃ解り切った話だね。今にもむずかしいという大病人を放ちらかしておいて、誰が勝手に東京へなんか行けるものかね
	実はね
	実はお父さんの生きてお出のうちに、お前の口が極ったらさぞ安心なさるだろうと思うんだがね。この様子じゃ、とても間に合わないかも知れないけれども、それにしても、まだああやって口も慥かなら気も慥かなんだから、ああしてお出のうちに喜ばして上げるように親孝行をおしな
	そういう元気なら結構なものだ。よっぽど悪いかと思って来たら、大変好いようじゃありませんか
	新聞なんか読ましちゃいけなかないか
	私もそう思うんだけれども、読まないと承知しないんだから、仕様がない
ab	よく解るのかな
	そりゃ慥かです。私はさっき二十分ばかり枕元に坐って色々話してみたが、調子の狂ったところは少しもないです。あの様子じゃことによるとまだなかなか持つかも知れませんよ
	身体が身体だからむやみに汽車になんぞ乗って揺れない方が好い。無理をして見舞に来られたりすると、かえってこっちが心配だから
	なに今に治ったら赤ん坊の顔でも見に、久しぶりにこっちから出掛けるから差支えない
a	大変だ大変だ
ab	あの時はいよいよ頭が変になったのかと思って、ひやりとした
ab	私も実は驚きました
a	何だい
	きっとお頼もうしておいた口の事だよ
	本当に間の悪い時は仕方のないものだね
	大方手紙で何とかいってきて下さるつもりだろうよ
	先生が口を探してくれる
	とにかく私の手紙はまだ向うへ着いていないはずだから、この電報はその前に出したものに違いないですね
ai	そうだね
	ああ作さんか
	作さんよく来てくれた。作さんは丈夫で羨ましいね。己はもう駄目だ
	そんな事はないよ。お前なんか子供は二人とも大学を卒業するし、少しぐらい病気になったって、申し分はないんだ。おれをご覧よ。かかあには死なれるしさ、子供はなしさ。ただこうして生きているだけの事だよ。達者だって何の楽しみもないじゃないか
ai	そりゃ結構です
	何の口だかまだ分らないのか
	関さんも気の毒だね。ああ幾日も引っ張られて帰れなくっちゃあ
	しかしそんな忙しい身体でもないんだから、ああして泊っていてくれるんでしょう。関さんよりも兄さんの方が困るでしょう、こう長くなっちゃ
a	困っても仕方がない。外の事と違うからな
	お父さんは、まだ治る気でいるようだな
	お前の卒業祝いは已めになって結構だ。おれの時には弱ったからね
k	お前これからどうする
	一体家の財産はどうなってるんだろう
b	おれは知らない。
	お父さんはまだ何ともいわないから。しかし財産っていったところで金としては高の知れたものだろう
	まだ手紙は来ないかい
	先生先生というのは一体誰の事だい
b	こないだ話したじゃないか
	聞いた事は聞いたけれども
a	イゴイストはいけないね。
	何もしないで生きていようというのは横着な了簡だからね。人は自分のもっている才能をできるだけ働かせなくっちゃ嘘だ
	それでもその人のお蔭で地位ができればまあ結構だ。お父さんも喜んでるようじゃないか
	ああして長く寝ているんだから胃も悪くなるはずだね
ab	聞いたか
	お前ここへ帰って来て、宅の事を監理する気がないか
	お母さん一人じゃ、どうする事もできないだろう
	本を読むだけなら、田舎でも充分できるし、それに働く必要もなくなるし、ちょうど好いだろう
	兄さんが帰って来るのが順ですね
ai	おれにそんな事ができるものか
	お前がいやなら、まあ伯父さんにでも世話を頼むんだが、それにしてもお母さんはどっちかで引き取らなくっちゃなるまい
	お母さんがここを動くか動かないかがすでに大きな疑問ですよ
	乃木大将に済まない。実に面目次第がない。いえ私もすぐお後から
	お光は
aE	何かご用ですか
	お光お前にも色々世話になったね
	あんな憐れっぽい事をお言いだがね、あれでもとはずいぶん酷かったんだよ
aD	今のうち何か聞いておく必要はないかな
a	そうだなあ
	いいたい事があるのに、いわないで死ぬのも残念だろうし、といって、こっちから催促するのも悪いかも知れず
	まあああして楽に寝られれば、傍にいるものも助かります
a	頭を冷やすと好い心持ですか
ai	うん
	どこへ行く
	どうも様子が少し変だからなるべく傍にいるようにしなくっちゃいけないよ
aE	どうも色々お世話になります
	ちょっと手をお貸し
	この手紙があなたの手に落ちる頃には、私はもうこの世にはいないでしょう。とくに死んでいるでしょう
	どうですか様子は
	今少し持ち合ってるようだよ
	どうです、浣腸して少しは心持が好くなりましたか
	有難う
	この子をどうぞ何分
f	東京へ
a	よろしい決して心配しないがいい
a	確かりしたものだ
a	お前もよく覚えているが好い
	素人下宿じゃいけませんか
ab	あなたは自分で気が付かないから、そうおっしゃるんです
	ご勉強？
	ご勉強ですか
E	おはいんなさい
ai	はい
	コーラン
E	お帰り
E	今帰ったのか
a	精神的に向上心のないものは馬鹿だ
a	精神的に向上心のないものは、馬鹿だ
a	馬鹿だ
ab	僕は馬鹿だ
ab	もうその話は止めよう
ab	止めてくれ
	止めてくれって、僕がいい出した事じゃない、もともと君の方から持ち出した話じゃないか。しかし君が止めたければ、止めてもいいが、ただ口の先で止めたって仕方があるまい。君の心でそれを止めるだけの覚悟がなければ。一体君は君の平生の主張をどうするつもりなのか
	覚悟？
	覚悟、――覚悟ならない事もない
b	その話はもう止めよう
	覚悟
e	今だ
a	何を？
b	あなたには何かおっしゃったんですか
a	そうですか
	奥さん、お嬢さんを私に下さい
	下さい、ぜひ下さい
	私の妻としてぜひ下さい
	上げてもいいが、あんまり急じゃありませんか
	急に貰いたいのだ
ab	よく考えたのですか
	宜ござんす、差し上げましょう
	差し上げるなんて威張った口の利ける境遇ではありません。どうぞ貰って下さい。ご存じの通り父親のない憐れな子です
	大丈夫です。本人が不承知の所へ、私があの子をやるはずがありませんから
E	今お帰り
	ええ癒りました、癒りました
	病気はもう癒いのか、医者へでも行ったのか
	道理で妾が話したら変な顔をしていましたよ。あなたもよくないじゃありませんか。平生あんなに親しくしている間柄だのに、黙って知らん顔をしているのは
a	あなたも喜んで下さい
a	おめでとうございます
	結婚はいつですか
	何かお祝いを上げたいが、私は金がないから上げる事ができません
a	驚いちゃいけません
	奥さん、Ｋは自殺しました
	済みません。私が悪かったのです。あなたにもお嬢さんにも済まない事になりました
a	不慮の出来事なら仕方がないじゃありませんか
ab	何でも私に隠していらっしゃる事があるに違いない
a	あなたはこの頃人間が違った
	Ｋさんが生きていたら、あなたもそんなにはならなかったでしょう
